Exp_n,Cage,date_coral_in,time_coral_in,date_finish,combo_general_spp,coral_spp_general,cage_side,growth_form_1,max_d_1,ortho_d_1,height_1,consumed_FIRST,consumed_SECOND,not_consumed_1,not_consumed_2,method_order_determined,camera_evidence,n_videos_eating,n_pics_eating,n_hours_eat,date_time_start,visitied_first,first_eaten_visited_first,feeding_time,comments
51,C152,3/18/21,4:09:00 PM,3/28/21,MCAP_MPAT,MCAP,SOUTH,EF,8,6.5,2.5,MPAT,MCAP,,,Y_VIDEO,NA,NA,NA,NA,NA,MCAP,N,overnight,did't see eating MCAP but ate MPAT within a day of starting trial
51,C152,3/18/21,4:09:00 PM,3/28/21,MCAP_MPAT,MPAT,NORTH,EF,10,9.5,4,MPAT,MCAP,,,Y_VIDEO,ate on first night,12,NA,12+,3/19/21 7:00,MCAP,N,both_start_night,did't see eating MCAP but ate MPAT within a day of starting trial
55,C153,3/18/21,4:13:00 PM,3/28/21,MCAP_MPAT,MCAP,NORTH,EF,3,2.5,2,MPAT,MCAP,,,Y_VIDEO,ate on video,12,NA,12+,3/22/21 7:00,MCAP,N,both_start_night,ate MPAT 3/21 and MCAP 3/22
55,C153,3/18/21,4:13:00 PM,3/28/21,MCAP_MPAT,MPAT,SOUTH,EF,7.5,4.5,4.5,MPAT,MCAP,,,Y_VIDEO,ate on video,12,NA,12+,3/21/21 7:00,MCAP,N,both_start_night,ate MPAT 3/21 and MCAP 3/22
61,C153,4/22/21,11:55:00 AM,4/29/21,PMEA_MPAT,POSP,NORTH,BR,14,11,12,PMEA,MPAT,,,Y_VIDEO,color change_video,NA,NA,NA,4/23/21-4/24-21,MPAT,N,overnight,Ate MPAT on 4/28 at 7am
61,C153,4/22/21,11:55:00 AM,4/29/21,PMEA_MPAT,MPAT,SOUTH,EF,20.5,16.5,10.5,PMEA,MPAT,,,Y_VIDEO,ate on video,4,NA,4+,4/28/21 7:00,MPAT,N,both_start_night,Ate MPAT on 4/28 at 7am
62,C077,4/22/21,11:58:00 AM,4/29/21,MCAP_MPAT,MCAP,NORTH,EF,6.5,6,2.5,MPAT,,MCAP,,ate one,NA,NA,NA,NA,NA,MCAP,N,NA,
62,C077,4/22/21,11:58:00 AM,4/29/21,MCAP_MPAT,MPAT,SOUTH,EF,8.5,3,2,MPAT,,MCAP,,ate one,NA,NA,NA,NA,NA,MCAP,N,overnight,
66,C153,5/6/21,1:55:00 PM,5/13/21,PMEA_MPAT,POSP,NORTH,BR,8,4.5,5.5,PMEA,,MPAT,,ate one,color change_video,NA,NA,NA,5/7/21-5/8/21,PMEA,Y,overnight,
66,C153,5/6/21,1:55:00 PM,5/13/21,PMEA_MPAT,MPAT,SOUTH,EF,11,5,4,PMEA,,MPAT,,ate one,NA,NA,NA,NA,NA,PMEA,Y,NA,
67,C077,5/6/21,11:45:00 AM,5/13/21,PMEA_MPAT,POSP,SOUTH,BR,4.5,3.5,7.5,PMEA,MPAT,,,Y_VIDEO,color change_video,NA,NA,NA,5/6/21-5/7/21,PMEA,Y,overnight,"algae on POSP, not MPAT -  also suggests POSP eaten first"
67,C077,5/6/21,11:45:00 AM,5/13/21,PMEA_MPAT,MPAT,NORTH,EF,5.5,3.5,3.5,PMEA,MPAT,,,Y_VIDEO,ate on video,12,NA,12+,5/10/21 7:00,PMEA,Y,both_start_night,"algae on POSP, not MPAT -  also suggests POSP eaten first"
69,C079,5/6/21,11:15:00 AM,5/13/21,PMEA_MCAP,POSP,SOUTH,BR,6,5,5.5,PMEA,,MCAP,,ate one,NA,NA,NA,NA,NA,NA,NA,overnight,
69,C079,5/6/21,11:15:00 AM,5/13/21,PMEA_MCAP,MCAP,NORTH,EF,6.5,5,4,PMEA,,MCAP,,ate one,NA,NA,NA,NA,NA,NA,NA,NA,
70,C152,5/6/21,10:55:00 AM,5/13/21,PLOB_MPAT,PORM,SOUTH,MD,9.5,6,5.5,MPAT,,PLOB,,ate one,NA,NA,NA,NA,NA,PORM,N,NA,
70,C152,5/6/21,10:55:00 AM,5/13/21,PLOB_MPAT,MPAT,NORTH,EF,18,9,8.5,MPAT,,PLOB,,ate one,ate on video,12,NA,12+,5/8/21 7:00,PORM,N,both_start_night,
